PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout09,Turnout14,Margin,Margin %,TurnoutDiff,UnionTerritory
Ramtek,9,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,1677245,1050316,50.9,62.6,175791,16.70%,11.7,No
Ranaghat,13,SC,WestBengal,Tapas Mandal,All India Trinamool Congress,1602849,1353196,86.4,84.4,201767,14.90%,-2,No
Ranchi,8,GEN,Jharkhand,Ram Tahal Choudhary,Bharatiya Janta Party,1648464,1049783,44.6,63.7,199303,19.00%,19.1,No
Ratlam,24,ST,MadhyaPradesh,Dileepsingh Bhuria,Bharatiya Janta Party,1702648,1082681,50.9,63.6,108447,10.00%,12.7,No
Ratnagiri - Sindhudurg,46,GEN,Maharashtra,Vinayak Bhaurao Raut,Shiv Sena,1367361,896256,57.5,65.6,150051,16.70%,8.1,No
Raver,4,GEN,Maharashtra,Khadase Raksha Nikhil,Bharatiya Janta Party,1593370,1009213,50.8,63.3,318068,31.50%,12.5,No
Rewa,10,GEN,MadhyaPradesh,Janardan Mishra,Bharatiya Janta Party,1544719,830002,48.4,53.7,168726,20.30%,5.3,No
Robertsganj,80,SC,UttarPradesh,Chhotelal,Bharatiya Janta Party,1639561,885873,49,54,190486,21.50%,5,No
Rohtak,7,GEN,Haryana,Deepender Singh Hooda,Indian National Congress,1567504,1044331,65.5,66.6,170627,16.30%,1.1,No
Sabarkantha,5,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,1615840,1094002,49.4,67.7,84455,7.70%,18.3,No
Sagar,5,GEN,MadhyaPradesh,Laxmi Narayan Yadav,Bharatiya Janta Party,1520184,891929,48.1,58.7,120737,13.50%,10.6,No
Saharanpur,1,GEN,UttarPradesh,Raghav Lakhanpal,Bharatiya Janta Party,1608833,1194308,63.3,74.2,65090,5.50%,10.9,No
Salem,15,GEN,TamilNadu,Pannerselvam.V,All India Anna Dravida Munnetra Kazhagam,1498350,1150296,76.5,76.8,267610,23.30%,0.3,No
Salempur,71,GEN,UttarPradesh,Ravindra Kushawaha,Bharatiya Janta Party,1661737,854749,39.2,51.4,232342,27.20%,12.2,No
Samastipur,23,SC,Bihar,Ram Chandra Paswan,Lok Jan Shakti Party,1503005,863199,44.5,57.4,6872,0.80%,12.9,No
Sambalpur,3,GEN,Orissa,Nagendra Kumar Pradhan,Biju Janata Dal,1297098,984309,64.9,75.9,30576,3.10%,11,No
Sambhal,8,GEN,UttarPradesh,Satyapal Singh,Bharatiya Janta Party,1693245,1057002,52.9,62.4,5174,0.50%,9.5,No
Sangli,44,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,1649107,1046659,52.3,63.5,239292,22.90%,11.2,No
Sangrur,12,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,1424743,1099467,74.4,77.2,211721,19.30%,2.8,No
Sant Kabir Nagar,62,GEN,UttarPradesh,Sharad Tripathi,Bharatiya Janta Party,1904327,1011649,47.3,53.1,97978,9.70%,5.8,No
Saran,20,GEN,Bihar,Rajiv Pratap Rudy,Bharatiya Janta Party,1538744,863254,45.8,56.1,40948,4.70%,10.3,No
Sarguja,1,ST,Chhattisgarh,Kamalbhan Singh Marabi,Bharatiya Janta Party,1523072,1187321,61.6,78,147236,12.40%,16.4,No
Sasaram,34,SC,Bihar,Chhedi Paswan,Bharatiya Janta Party,1607747,846788,42.7,52.7,63327,7.50%,10,No
Satara,45,GEN,Maharashtra,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,Nationalist Congress Party,1719998,976681,52.8,56.8,366594,37.50%,4,No
Satna,9,GEN,MadhyaPradesh,Ganesh Singh,Bharatiya Janta Party,1458084,913444,54.7,62.7,8688,1.00%,8,No
Secundrabad,8,GEN,Telangana,Bandaru Dattatreya,Bharatiya Janta Party,1893647,1003769,55,53,254735,25.40%,-2,No
Shahdol,12,ST,MadhyaPradesh,Dalpat Singh Paraste,Bharatiya Janta Party,1561321,968518,49.5,62,241301,24.90%,12.5,No
Shahjahanpur,27,SC,UttarPradesh,Krishna Raj,Bharatiya Janta Party,1979294,1129841,48.7,57.1,235529,20.80%,8.4,No
Sheohar,4,GEN,Bihar,Rama Devi,Bharatiya Janta Party,1489724,842894,45.2,56.6,136239,16.20%,11.4,No
Shillong,1,ST,Meghalaya,Vincent H. Pala,Indian National Congress,980740,619987,62.2,63.2,40379,6.50%,1,No
Shimla,4,SC,HimachalPradesh,Virender Kashyap,Bharatiya Janta Party,1153363,737757,55.7,64,84187,11.40%,8.3,No
Shimoga,14,GEN,Karnataka,B. S. Yeddyurappa,Bharatiya Janta Party,1562241,1129008,66.5,72.3,363305,32.20%,5.8,No
Shirdi,38,SC,Maharashtra,Lokhande Sadashiv Kisan,Shiv Sena,1459712,932645,50.4,63.9,199922,21.40%,13.5,No
Shirur,36,GEN,Maharashtra,Adhalrao Shivaji Dattatrey,Shiv Sena,1824112,1089506,51.5,59.7,301814,27.70%,8.2,No
Shrawasti,58,GEN,UttarPradesh,Daddan Mishra,Bharatiya Janta Party,1788080,979638,43.1,54.8,85913,8.80%,11.7,No
Sidhi,11,GEN,MadhyaPradesh,Riti Pathak,Bharatiya Janta Party,1736050,989396,49.8,57,108046,10.90%,7.2,No
Sikar,5,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,1770424,1065750,48.1,60.2,239196,22.40%,12.1,No
Sikkim,1,GEN,Sikkim,Prem Das Rai,Sikkim Democratic Front,370611,308967,85.6,83.4,41742,13.50%,-2.2,No
Silchar,2,GEN,Assam,Sushmita Dev,Indian National Congress,1060175,799830,70.4,75.4,35241,4.40%,5,No
Singhbhum,10,ST,Jharkhand,Laxman Giluwa,Bharatiya Janta Party,1152570,795286,60.6,69,87524,11.00%,8.4,No
Sirsa,3,SC,Haryana,Charanjeet Singh Rori,Indian National Lok Dal,1660557,1279105,75,77,115736,9.00%,2,No
Sitamarhi,5,GEN,Bihar,Ram Kumar Sharma,Rashtriya Lok Samta Party,1574914,900588,42.5,57.2,147965,16.40%,14.7,No
Sitapur,30,GEN,UttarPradesh,Rajesh Verma,Bharatiya Janta Party,1550263,1026972,57.3,66.3,51027,5.00%,9,No
Sivaganga,31,GEN,TamilNadu,Senthilnathan Pr,All India Anna Dravida Munnetra Kazhagam,1412373,1027036,71,72.7,229385,22.30%,1.7,No
Siwan,18,GEN,Bihar,Om Prakash Yadav,Bharatiya Janta Party,1563860,884021,50.1,56.5,113847,12.90%,6.4,No
Solapur,42,SC,Maharashtra,Sharad Bansode,Bharatiya Janta Party,1702755,951201,46.6,55.9,149674,15.70%,9.3,No
Sonipat,6,GEN,Haryana,Ramesh Chander,Bharatiya Janta Party,1417188,985637,64.8,69.6,77414,7.90%,4.8,No
South Delhi,7,GEN,Delhi,Ramesh Bidhuri,Bharatiya Janta Party,1752741,1102410,47.4,62.9,107000,9.70%,15.5,Yes
South Goa,2,GEN,Goa,Adv. Narendra Keshav Sawaikar,Bharatiya Janta Party,545336,410369,51,75.3,32330,7.90%,24.3,No
Srerampur,27,GEN,WestBengal,Kalyan Banerjee,All India Trinamool Congress,1624038,1290433,77.5,79.5,152526,11.80%,2,No
Srikakulam,19,GEN,AndhraPradesh,Rammohan Naidu Kinjarapu,Telugu Desam,1413989,1051446,75.2,74.4,127572,12.10%,-0.8,No
Srinagar,2,GEN,Jammu&Kashmir,Tariq Hameed Karra,Jammu & Kashmir Peoples Democratic Party,1205233,312212,25.6,25.9,42280,13.50%,0.3,No
Sriperumbudur,5,GEN,TamilNadu,Ramachandran K.N. Thiru,All India Anna Dravida Munnetra Kazhagam,1946503,1286647,66.1,66.1,102646,8.00%,0,No
Sultanpur,38,GEN,UttarPradesh,Feroze Varun Gandhi,Bharatiya Janta Party,1703698,964981,49.5,56.6,178902,18.50%,7.1,No
Sundargarh,2,ST,Orissa,Jual @ Juel Oram,Bharatiya Janta Party,1410532,1010711,61.5,71.7,18829,1.90%,10.2,No
Supaul,8,GEN,Bihar,Ranjeet Ranjan,Indian National Congress,1525592,970528,54.5,63.6,59672,6.10%,9.1,No
Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,1484068,947922,49,63.9,533190,56.20%,14.9,No
Surendranagar,9,GEN,Gujarat,Fatepara Devajibhai Govindbhai,Bharatiya Janta Party,1656657,944677,39.7,57,202907,21.50%,17.3,No
